Time,Volume,Price
2018-03-15 09:30:00,288,59.88
2018-03-15 09:30:30,127,59.27
2018-03-15 09:31:00,233,59.33
2018-03-15 09:31:30,268,59.68
2018-03-15 09:32:00,294,59.94
2018-03-15 09:32:30,107,59.07
2018-03-15 09:33:00,185,59.85
2018-03-15 09:33:30,273,59.73
2018-03-15 09:34:00,228,59.28
2018-03-15 09:34:30,142,59.42
2018-03-15 09:35:00,247,59.47
2018-03-15 09:35:30,131,59.31
2018-03-15 09:36:00,217,59.17
2018-03-15 09:36:30,115,59.15
2018-03-15 09:37:00,259,59.59
2018-03-15 09:37:30,184,59.84
2018-03-15 09:38:00,105,59.05
2018-03-15 09:38:30,244,59.44
2018-03-15 09:39:00,186,59.86
2018-03-15 09:39:30,179,59.79
2018-03-15 09:40:00,258,59.58
2018-03-15 09:40:30,156,59.56
2018-03-15 09:41:00,157,59.57
2018-03-15 09:41:30,236,59.36
2018-03-15 09:42:00,129,59.29
2018-03-15 09:42:30,109,59.09
2018-03-15 09:43:00,285,59.85
2018-03-15 09:43:30,124,59.24
2018-03-15 09:44:00,191,59.91
2018-03-15 09:44:30,288,59.88
2018-03-15 09:45:00,286,59.86
2018-03-15 09:45:30,296,59.96
2018-03-15 09:46:00,184,59.84
2018-03-15 09:46:30,243,59.43
2018-03-15 09:47:00,140,59.40
2018-03-15 09:47:30,125,59.25
2018-03-15 09:48:00,156,59.56
2018-03-15 09:48:30,147,59.47
2018-03-15 09:49:00,256,59.56
2018-03-15 09:49:30,291,59.91
2018-03-15 09:50:00,106,59.06
2018-03-15 09:50:30,258,59.58
2018-03-15 09:51:00,217,59.17
2018-03-15 09:51:30,155,59.55
2018-03-15 09:52:00,233,59.33
2018-03-15 09:52:30,272,59.72
2018-03-15 09:53:00,170,59.70
2018-03-15 09:53:30,201,59.01
2018-03-15 09:54:00,108,59.08
2018-03-15 09:54:30,218,59.18
2018-03-15 09:55:00,209,59.09
2018-03-15 09:55:30,150,59.50
2018-03-15 09:56:00,223,59.23
2018-03-15 09:56:30,119,59.19
2018-03-15 09:57:00,128,59.28
2018-03-15 09:57:30,299,59.99
2018-03-15 09:58:00,295,59.95
2018-03-15 09:58:30,279,59.79
2018-03-15 09:59:00,216,59.16
2018-03-15 09:59:30,144,59.44
2018-03-15 10:00:00,246,59.46
2018-03-15 10:00:30,100,59.00
2018-03-15 10:01:00,256,59.56
2018-03-15 10:01:30,259,59.59
2018-03-15 10:02:00,105,59.05
2018-03-15 10:02:30,213,59.13
2018-03-15 10:03:00,179,59.79
2018-03-15 10:03:30,153,59.53
2018-03-15 10:04:00,179,59.79
2018-03-15 10:04:30,193,59.93
2018-03-15 10:05:00,255,59.55
2018-03-15 10:05:30,166,59.66
2018-03-15 10:06:00,288,59.88
2018-03-15 10:06:30,240,59.40
2018-03-15 10:07:00,217,59.17
2018-03-15 10:07:30,190,59.90
2018-03-15 10:08:00,210,59.10
2018-03-15 10:08:30,162,59.62
2018-03-15 10:09:00,292,59.92
2018-03-15 10:09:30,194,59.94
2018-03-15 10:10:00,140,59.40
2018-03-15 10:10:30,225,59.25
2018-03-15 10:11:00,153,59.53
2018-03-15 10:11:30,128,59.28
2018-03-15 10:12:00,204,59.04
2018-03-15 10:12:30,119,59.19
2018-03-15 10:13:00,271,59.71
2018-03-15 10:13:30,195,59.95
2018-03-15 10:14:00,120,59.20
2018-03-15 10:14:30,210,59.10
2018-03-15 10:15:00,216,59.16
2018-03-15 10:15:30,243,59.43
2018-03-15 10:16:00,269,59.69
2018-03-15 10:16:30,212,59.12
2018-03-15 10:17:00,193,59.93
